SG Gross Revenue,SG Downloads,Inclusion Reason,Key Details,Game Title,English Display Title,Original Title,Detected Language,Machine English Title,Manual English Title,Translation Source,Translation Confidence,Translation Review Status,Translation Note,Platform,Publisher,Developer,Release Date,Genre,Top 3 Markets,SG App Store Ranks,unified_app_id,run_timestamp_utc,report_start_date,report_end_date,ranking_date,sensor_tower_effective_end_date,meeting_date,report_classification,steamdb_peak,steamdb_reviews,steam_url,mobile_storefront_url,console_source_url,release_date_source_url,source_urls,publisher_source_url,genre_source_url,comparable_game,comparison_reason,comparison_source_url,Continuity Note,Continuity Brief Href,Continuity,registry_game_id
,,Dark-fantasy action RPG about a newly turned Dawnwalker racing to save his family amid a vampire uprising.,Dark-fantasy action RPG about a newly turned Dawnwalker racing to save his family amid a vampire uprising.,The Blood of Dawnwalker,The Blood of Dawnwalker,The Blood of Dawnwalker,,,,,,,,PC,Rebel Wolves,unconfirmed,2026-09-02,Action RPG,,,3751260,,,,,,2026-09-08,pc_only,78188,12188,https://store.steampowered.com/app/3751260/,,https://www.bandainamcoent.com/games/dawnwalker,https://store.steampowered.com/app/3751260/,https://store.steampowered.com/app/3751260/,https://store.steampowered.com/app/3751260/,https://store.steampowered.com/app/3751260/,,,,,,,
,,"Single-player turn-based tactics game set in the Clone Wars, commanding a custom squad on tactical missions.","Single-player turn-based tactics game set in the Clone Wars, commanding a custom squad on tactical missions.",STAR WARS Zero Company™,STAR WARS Zero Company™,STAR WARS Zero Company™,,,,,,,,PC,Electronic Arts,unconfirmed,2026-08-27,Tactical RPG; Turn-Based Strategy,,,2075800,,,,,,2026-09-08,pc_only,77889,15871,https://store.steampowered.com/app/2075800/,,https://www.ea.com/en/games/starwars/zero-company,https://store.steampowered.com/app/2075800/,https://store.steampowered.com/app/2075800/,https://store.steampowered.com/app/2075800/,https://store.steampowered.com/app/2075800/,,,,,,,
,,"Soulslike action RPG focused on deliberate melee combat, weapon mastery and demanding boss encounters.","Soulslike action RPG focused on deliberate melee combat, weapon mastery and demanding boss encounters.",Mortal Shell II,Mortal Shell II,Mortal Shell II,,,,,,,,PC,Playstack,unconfirmed,2026-08-20,Action RPG,,,2584270,,,,,,2026-09-08,pc_only,44486,18357,https://store.steampowered.com/app/2584270/,,https://mortal-shell.com/release,https://store.steampowered.com/app/2584270/,https://store.steampowered.com/app/2584270/,https://store.steampowered.com/app/2584270/,https://store.steampowered.com/app/2584270/,,,,,,,
,,"Basketball simulation featuring NBA teams, player progression and competitive game modes.","Basketball simulation featuring NBA teams, player progression and competitive game modes.",NBA 2K27,NBA 2K27,NBA 2K27,,,,,,,,PC,2K,unconfirmed,2026-09-04,Simulation,,,4356430,,,,,,2026-09-08,pc_only,31232,1499,https://store.steampowered.com/app/4356430/,,https://newsroom.2k.com/news/ball-over-everything-in-nbar-2k27-now-available,https://store.steampowered.com/app/4356430/,https://store.steampowered.com/app/4356430/,https://store.steampowered.com/app/4356430/,https://store.steampowered.com/app/4356430/,,,,,,,
,,Three-player co-op puzzle game where each teammate holds partial information needed to defuse bombs.,Three-player co-op puzzle game where each teammate holds partial information needed to defuse bombs.,BOMBANANA!,BOMBANANA!,BOMBANANA!,,,,,,,,PC,TARK,unconfirmed,2026-09-02,Puzzle,,,4656000,,,,,,2026-09-08,pc_only,22936,1277,https://store.steampowered.com/app/4656000/,,,https://store.steampowered.com/app/4656000/,https://store.steampowered.com/app/4656000/,https://store.steampowered.com/app/4656000/,https://store.steampowered.com/app/4656000/,,,,,,,
,,Live-action historical interactive drama where player choices shape a story set in the Southern Song dynasty.,Live-action historical interactive drama where player choices shape a story set in the Southern Song dynasty.,Shao Song I,Shao Song I,Shao Song I,,,,,,,,PC,猫眼娱乐; 互动之星,unconfirmed,2026-08-20,Visual Novel; Strategy,,,4292950,,,,,,2026-09-08,pc_only,12933,2783,https://store.steampowered.com/app/4292950/,,,https://store.steampowered.com/app/4292950/,https://store.steampowered.com/app/4292950/,https://store.steampowered.com/app/4292950/,https://store.steampowered.com/app/4292950/,,,,,,,
,,"Business-management simulation about starting companies, hiring staff and expanding a city-based enterprise.","Business-management simulation about starting companies, hiring staff and expanding a city-based enterprise.",Big Ambitions,Big Ambitions,Big Ambitions,,,,,,,,PC,Hovgaard Games,unconfirmed,2026-08-28,Simulation; Resource Management,,,1331550,,,,,,2026-09-08,pc_only,12232,14210,https://store.steampowered.com/app/1331550/,,,https://store.steampowered.com/app/1331550/,https://store.steampowered.com/app/1331550/,https://store.steampowered.com/app/1331550/,https://store.steampowered.com/app/1331550/,,,,,,,
,,"Cozy life simulation about farming, cooking, fishing and building a home on an island.","Cozy life simulation about farming, cooking, fishing and building a home on an island.",Starsand Island,Starsand Island,Starsand Island,,,,,,,,PC,Seed Sparkle Lab,unconfirmed,2026-08-18,Life Sim; Farming Sim,,,2966320,,,,,,2026-09-08,pc_only,12063,6806,https://store.steampowered.com/app/2966320/,,https://www.xbox.com/en-us/games/store/starsand-island/9p86lldcl5cc,https://store.steampowered.com/app/2966320/,https://store.steampowered.com/app/2966320/,https://store.steampowered.com/app/2966320/,https://store.steampowered.com/app/2966320/,,,,,,,
,,"Dark-fantasy action RPG with melee combat, supernatural powers and optional two-player co-op.","Dark-fantasy action RPG with melee combat, supernatural powers and optional two-player co-op.",Crimson Moon,Crimson Moon,Crimson Moon,,,,,,,,PC,ProbablyMonsters,unconfirmed,2026-09-01,Action RPG,,,4317690,,,,,,2026-09-08,pc_only,10273,2596,https://store.steampowered.com/app/4317690/,,https://store.playstation.com/en-us/concept/10013260,https://store.steampowered.com/app/4317690/,https://store.steampowered.com/app/4317690/,https://store.steampowered.com/app/4317690/,https://store.steampowered.com/app/4317690/,,,,,,,
,,"Top-down roguelite shooter about assembling a survivor squad, upgrading builds and surviving escalating zombie waves.","Top-down roguelite shooter about assembling a survivor squad, upgrading builds and surviving escalating zombie waves.",Yet Another Zombie Survivors,Yet Another Zombie Survivors,Yet Another Zombie Survivors,,,,,,,,PC,Awesome Games Studio,unconfirmed,2026-08-20,Shooter; Roguelite,,,2163330,,,,,,2026-09-08,pc_only,10173,15121,https://store.steampowered.com/app/2163330/,,https://www.xbox.com/en-us/games/store/yet-another-zombie-survivors/9NCK0FXQL38F,https://store.steampowered.com/app/2163330/,https://store.steampowered.com/app/2163330/,https://store.steampowered.com/app/2163330/,https://store.steampowered.com/app/2163330/,,,,,,,
